Date,Time,pH,cleanout by wall pt2
8/31/2020,10:51:46 AM,0,
8/31/2020,10:51:46 AM,7.07,
8/31/2020,10:51:48 AM,7.06,
8/31/2020,10:51:50 AM,7.06,
8/31/2020,10:51:52 AM,7.06,
8/31/2020,10:51:54 AM,7.15,
8/31/2020,10:51:56 AM,7.01,
8/31/2020,10:51:58 AM,7.08,
8/31/2020,10:52:00 AM,7.06,
8/31/2020,10:52:02 AM,7.04,
8/31/2020,10:52:04 AM,7.05,
8/31/2020,10:52:06 AM,7.04,
8/31/2020,10:52:08 AM,7.05,
8/31/2020,10:52:10 AM,7.02,
8/31/2020,10:52:12 AM,7.07,
8/31/2020,10:52:14 AM,7.12,
8/31/2020,10:52:16 AM,7.28,
8/31/2020,10:52:18 AM,7.21,
8/31/2020,10:52:20 AM,7.24,
8/31/2020,10:52:22 AM,7.18,
8/31/2020,10:52:24 AM,7.27,
8/31/2020,10:52:26 AM,7.17,
8/31/2020,10:52:28 AM,7.21,
8/31/2020,10:52:30 AM,7.22,
8/31/2020,10:52:32 AM,7.24,
8/31/2020,10:52:34 AM,7.33,
8/31/2020,10:52:36 AM,7.35,
8/31/2020,10:52:38 AM,7.06,
8/31/2020,10:52:40 AM,7.42,
8/31/2020,10:52:42 AM,7.55,
8/31/2020,10:52:44 AM,7.31,
8/31/2020,10:52:46 AM,7.64,
8/31/2020,10:52:48 AM,7.27,
8/31/2020,10:52:50 AM,7.27,
8/31/2020,10:52:52 AM,7.16,
8/31/2020,10:52:54 AM,7,
8/31/2020,10:52:56 AM,7.24,
8/31/2020,10:52:58 AM,6.89,
8/31/2020,10:53:00 AM,6.95,
8/31/2020,10:53:02 AM,7.24,
8/31/2020,10:53:04 AM,6.95,
8/31/2020,10:53:06 AM,6.89,
8/31/2020,10:53:08 AM,6.89,
8/31/2020,10:53:10 AM,6.8,
8/31/2020,10:53:12 AM,6.8,
8/31/2020,10:53:14 AM,6.71,
8/31/2020,10:53:16 AM,6.77,
8/31/2020,10:53:18 AM,6.91,
8/31/2020,10:53:20 AM,6.98,
8/31/2020,10:53:22 AM,6.99,
8/31/2020,10:53:24 AM,6.98,
8/31/2020,10:53:26 AM,6.95,
8/31/2020,10:53:28 AM,6.95,
8/31/2020,10:53:30 AM,6.98,
8/31/2020,10:53:32 AM,6.95,
8/31/2020,10:53:34 AM,6.95,
8/31/2020,10:53:36 AM,6.91,
8/31/2020,10:53:38 AM,6.93,
8/31/2020,10:53:38 AM,,
