Date,Time,pH,vat cleanout
8/31/2020,12:43:18,"5.99
",
8/31/2020,12:43:20,"4.17
",
8/31/2020,12:43:22,"4.06
",
8/31/2020,12:43:24,"3.99
",
8/31/2020,12:43:26,"3.96
",
8/31/2020,12:43:28,"3.97
",
8/31/2020,12:43:30,"4.02
",
8/31/2020,12:43:32,"3.94
",
8/31/2020,12:43:34,"3.94
",
8/31/2020,12:43:36,"3.97
",
8/31/2020,12:43:38,"3.97
",
8/31/2020,12:43:40,"3.97
",
8/31/2020,12:43:42,"3.97
",
8/31/2020,12:43:44,"3.98
",
8/31/2020,12:43:46,"3.97
",
8/31/2020,12:43:48,"4.00
",
8/31/2020,12:43:50,"4.00
",
8/31/2020,12:43:52,"4.00
",
8/31/2020,12:43:54,"4.00
",
8/31/2020,12:43:56,"3.99
",
8/31/2020,12:43:58,"4.00
",
8/31/2020,12:44:00,"4.00
",
8/31/2020,12:44:02,"4.00
",
8/31/2020,12:44:04,"4.00
",
8/31/2020,12:44:06,"4.00
",
8/31/2020,12:44:08,"4.02
",
8/31/2020,12:44:10,"4.00
",
8/31/2020,12:44:12,"4.01
",
8/31/2020,12:44:14,"4.01
",
8/31/2020,12:44:16,"4.02
",
8/31/2020,12:44:18,"4.03
",
8/31/2020,12:44:20,"4.03
",
8/31/2020,12:44:22,"4.02
",
8/31/2020,12:44:24,"4.03
",
8/31/2020,12:44:26,"4.03
",
8/31/2020,12:44:28,"4.02
",
8/31/2020,12:44:30,"4.03
",
8/31/2020,12:44:32,"4.03
",
8/31/2020,12:44:34,"4.03
",
8/31/2020,12:44:36,"4.01
",
8/31/2020,12:44:38,"4.03
",
8/31/2020,12:44:40,"4.02
",
8/31/2020,12:44:42,"4.02
",
8/31/2020,12:44:44,"4.02
",
8/31/2020,12:44:46,"4.02
",
8/31/2020,12:44:48,"4.03
",
8/31/2020,12:44:50,"4.00
",
8/31/2020,12:44:52,"4.02
",
8/31/2020,12:44:54,"4.00
",
8/31/2020,12:44:56,"4.01
",
8/31/2020,12:44:58,"4.00
",
8/31/2020,12:45:00,"4.00
",
8/31/2020,12:45:02,"4.00
",
8/31/2020,12:45:04,"4.00
",
8/31/2020,12:45:06,"4.00
",
8/31/2020,12:45:08,"4.00
",
8/31/2020,12:45:10,"4.00
",
8/31/2020,12:45:12,"4.00
",
8/31/2020,12:45:14,"4.00
",
8/31/2020,12:45:16,"4.00
",
8/31/2020,12:45:18,"4.00
",
8/31/2020,12:45:20,"4.00
",
8/31/2020,12:45:22,"4.00
",
8/31/2020,12:45:24,"4.00
",
8/31/2020,12:45:26,"4.00
",
8/31/2020,12:45:28,"3.99
",
8/31/2020,12:45:30,"4.00
",
8/31/2020,12:45:32,"4.00
",
8/31/2020,12:45:34,"4.00
",
8/31/2020,12:45:36,"4.00
",
8/31/2020,12:45:38,"4.00
",
8/31/2020,12:45:40,"4.00
",
8/31/2020,12:45:42,"4.00
",
8/31/2020,12:45:44,"3.99
",
8/31/2020,12:45:46,"4.00
",
8/31/2020,12:45:48,"4.00
",
8/31/2020,12:45:50,"4.00
",
8/31/2020,12:45:52,"4.00
",
8/31/2020,12:45:54,"4.00
",
8/31/2020,12:45:56,"4.00
",
8/31/2020,12:45:58,"3.99
",
8/31/2020,12:46:00,"4.00
",
8/31/2020,12:46:02,"4.00
",
8/31/2020,12:46:04,"4.00
",
8/31/2020,12:46:06,"4.00
",
8/31/2020,12:46:08,"3.99
",
8/31/2020,12:46:10,"3.99
",
8/31/2020,12:46:12,"3.99
",
8/31/2020,12:46:14,"3.99
",
8/31/2020,12:46:16,"3.98
",
8/31/2020,12:46:18,"3.99
",
8/31/2020,12:46:20,"3.99
",
8/31/2020,12:46:22,"3.98
",
8/31/2020,12:46:24,"3.99
",
8/31/2020,12:46:26,"3.97
",
8/31/2020,12:46:28,"3.99
",
8/31/2020,12:46:30,"4.00
",
8/31/2020,12:46:32,"4.00
",
8/31/2020,12:46:34,"4.02
",
8/31/2020,12:46:36,"4.03
",
8/31/2020,12:46:38,"4.05
",
8/31/2020,12:46:40,"4.06
",
8/31/2020,12:46:42,"4.09
",
8/31/2020,12:46:44,"4.09
",
8/31/2020,12:46:46,"4.10
",
8/31/2020,12:46:48,"4.11
",
8/31/2020,12:46:50,"4.12
",
8/31/2020,12:46:52,"4.14
",
8/31/2020,12:46:54,"4.12
",
8/31/2020,12:46:56,"4.12
",
8/31/2020,12:46:58,"4.12
",
8/31/2020,12:47:00,"4.15
",
8/31/2020,12:47:02,"4.16
",
8/31/2020,12:47:04,"4.20
",
8/31/2020,12:47:06,"4.21
",
8/31/2020,12:47:08,"4.24
",
8/31/2020,12:47:10,"4.24
",
8/31/2020,12:47:12,"4.33
",
8/31/2020,12:47:14,"4.33
",
8/31/2020,12:47:16,"4.33
",
