Date,Time,pH,cleanout by wall
8/31/2020,12:54:19,"6.59
",
8/31/2020,12:54:21,"6.65
",
8/31/2020,12:54:23,"6.65
",
8/31/2020,12:54:25,"6.64
",
8/31/2020,12:54:27,"6.62
",
8/31/2020,12:54:29,"6.63
",
8/31/2020,12:54:31,"6.62
",
8/31/2020,12:54:33,"6.63
",
8/31/2020,12:54:35,"6.68
",
8/31/2020,12:54:37,"6.68
",
8/31/2020,12:54:39,"6.68
",
8/31/2020,12:54:41,"6.69
",
8/31/2020,12:54:43,"6.68
",
8/31/2020,12:54:45,"6.68
",
8/31/2020,12:54:47,"6.71
",
8/31/2020,12:54:49,"6.71
",
8/31/2020,12:54:51,"6.71
",
8/31/2020,12:54:53,"6.71
",
8/31/2020,12:54:56,"6.72
",
8/31/2020,12:54:58,"6.72
",
8/31/2020,12:55:00,"6.72
",
8/31/2020,12:55:02,"6.74
",
8/31/2020,12:55:04,"6.73
",
8/31/2020,12:55:06,"6.72
",
8/31/2020,12:55:08,"6.72
",
8/31/2020,12:55:10,"6.72
",
8/31/2020,12:55:12,"6.73
",
8/31/2020,12:55:14,"6.74
",
8/31/2020,12:55:16,"6.74
",
8/31/2020,12:55:18,"6.74
",
8/31/2020,12:55:20,"6.74
",
8/31/2020,12:55:22,"6.74
",
8/31/2020,12:55:24,"6.74
",
8/31/2020,12:55:26,"6.74
",
8/31/2020,12:55:28,"6.74
",
8/31/2020,12:55:30,"6.74
",
8/31/2020,12:55:32,"6.74
",
8/31/2020,12:55:34,"6.74
",
8/31/2020,12:55:36,"6.75
",
8/31/2020,12:55:38,"6.75
",
8/31/2020,12:55:40,"6.77
",
8/31/2020,12:55:42,"6.74
",
8/31/2020,12:55:44,"6.74
",
8/31/2020,12:55:46,"6.74
",
8/31/2020,12:55:48,"6.74
",
8/31/2020,12:55:50,"6.76
",
8/31/2020,12:55:52,"6.75
",
8/31/2020,12:55:54,"6.76
",
8/31/2020,12:55:56,"6.77
",
8/31/2020,12:55:58,"6.75
",
8/31/2020,12:56:00,"6.74
",
8/31/2020,12:56:02,"6.74
",
8/31/2020,12:56:04,"6.75
",
8/31/2020,12:56:06,"6.75
",
8/31/2020,12:56:08,"6.77
",
8/31/2020,12:56:10,"6.77
",
8/31/2020,12:56:12,"6.78
",
