Date,Time,pH
9/1/2020,1:54:28 PM,6.80
9/1/2020,1:54:30 PM,6.86
9/1/2020,1:54:32 PM,6.86
9/1/2020,1:54:34 PM,6.87
9/1/2020,1:54:36 PM,3.77
9/1/2020,1:54:38 PM,3.73
9/1/2020,1:54:40 PM,3.72
9/1/2020,1:54:42 PM,3.68
9/1/2020,1:54:44 PM,3.71
9/1/2020,1:54:46 PM,3.55
9/1/2020,1:54:48 PM,3.67
9/1/2020,1:54:50 PM,3.68
9/1/2020,1:54:52 PM,3.68
9/1/2020,1:54:54 PM,3.70
9/1/2020,1:54:56 PM,3.68
9/1/2020,1:54:58 PM,3.70
9/1/2020,1:55:00 PM,3.73
9/1/2020,1:55:02 PM,3.69
9/1/2020,1:55:04 PM,3.70
9/1/2020,1:55:06 PM,3.64
9/1/2020,1:55:08 PM,3.68
9/1/2020,1:55:10 PM,3.67
9/1/2020,1:55:12 PM,3.69
9/1/2020,1:55:14 PM,3.70
9/1/2020,1:55:16 PM,3.68
9/1/2020,1:55:18 PM,3.67
9/1/2020,1:55:20 PM,3.68
9/1/2020,1:55:22 PM,3.69
9/1/2020,1:55:24 PM,3.70
9/1/2020,1:55:26 PM,3.69
9/1/2020,1:55:28 PM,3.69
9/1/2020,1:55:30 PM,3.68
9/1/2020,1:55:32 PM,3.70
9/1/2020,1:55:34 PM,3.70
9/1/2020,1:55:36 PM,3.71
9/1/2020,1:55:38 PM,3.70
9/1/2020,1:55:40 PM,3.69
9/1/2020,1:55:42 PM,3.69
9/1/2020,1:55:44 PM,3.69
9/1/2020,1:55:46 PM,3.67
9/1/2020,1:55:48 PM,3.67
9/1/2020,1:55:50 PM,3.65
9/1/2020,1:55:52 PM,3.99
9/1/2020,1:55:54 PM,11.79
9/1/2020,1:55:56 PM,12.14
9/1/2020,1:55:58 PM,8.60
9/1/2020,1:56:00 PM,3.95
9/1/2020,1:56:02 PM,3.83
9/1/2020,1:56:04 PM,4.30
9/1/2020,1:56:06 PM,3.85
